Task Name,Parent Task,Total Duration (hours)
"ADVENTURE 🦋🧐🧞‍♂️🗻👣","","7.0"
"🎸 practice ","Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","6.83"
"Love ❤️ & COnNecTiON ","","6.68278"
"Comprehension 🎧👂🏽🇪🇸","SPANISH STUDY 👨🏽‍🌾💃🏽🦅🦋🐞🦜🔥🤸🏽‍♀️🔍","6.32028"
"Stretching 🤸🏽‍♀️🤸🏽‍♀️","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","6.23861"
"Documentaries 📺💡","Study🖥📚🖊💡","6.12083"
"Fun  🤣😂🌈😜🤡👻😹💩🎅🏿","","5.51611"
"🦋🦉🌳👀❤️ nature ","Take it in ✨🔥🙌🏾👁👂🏽👃🏽","5.45"
"🎨Organisation ","Art 🎨","5.435"
"Break 🏝🔋⏳","","5.20361"
"Job admin ⚙️📥🗓💸🤚🏾✋🏾🥁","Percussion gig 💸🖐🏾🤚🏾🎼","5.1525"
"🕊🙏🏾🕯","Meditation  🙏🏾👁🌀🕯💎","4.91556"
"ChOonz 🎧👂🏽👌🏾⚡️🔥🌈","Take it in ✨🔥🙌🏾👁👂🏽👃🏽","4.77167"
"Playing music 🎶 ","Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","4.7125"
"Purchase Research  🔍🖼🗝🎁","Shopping 💸🛍🛒","4.36917"
"🔥Hot&Cold❄️","Health🌱🥑🔥","4.14861"
"✨👁🐸👁✨","Meditation  🙏🏾👁🌀🕯💎","3.59889"
"RZ admin","RedZebra work","3.48611"
"🌀❤️🐍","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","3.28611"
"Medical 💉🔬⛑👩🏻‍⚕️","Health🌱🥑🔥","3.13944"
"Song writing","Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","3.03333"
"🧠⚡️⛈💥🌈 BRAINSTORM","Art 🎨","2.98972"
"EFT 🙌🏾🦋❤️🌈","Meditation  🙏🏾👁🌀🕯💎","2.80222"
"Health🌱🥑🔥","","2.66722"
"Inversion 🤸🏾‍♂️⚪️⛩ Table","Meditation  🙏🏾👁🌀🕯💎","2.62472"
"✨🛴Scooter🛴✨","Travel                                                🧳🚕🚄✈️","2.56472"
"Faffing🤡👻👀 ","In between                                         ➡️📊⬅️","2.54028"
